date,population,food
0815-03-21T00:00,32,92661.75907537104,
0815-03-21T00:00,32,92786.2199917482,
0815-03-21T00:00,32,93004.92727272751,
0815-03-21T00:00,32,93506.8955356538,
0815-03-21T00:00,32,93953.92045615896,
0815-03-21T00:00,32,94240.66570906834,
0815-03-21T00:00,32,94621.12552498223,
0815-03-21T00:00,32,94871.07837748801,
0815-03-21T00:00,32,95023.41508684767,
0815-03-21T00:00,32,95252.2108030134,
0815-03-21T00:00,32,95702.59816764179,
0815-03-21T00:00,32,95912.2717355442,
0815-03-21T00:00,32,96223.79355329515,
0815-03-21T00:00,32,96546.28549748885,
0815-03-21T00:00,32,96696.20911186497,
0815-03-21T00:00,32,96826.8533233466,
0815-03-21T00:00,32,97133.04826143962,
0815-03-21T00:00,32,97351.14454124868,
0815-03-21T00:00,32,97764.70902361168,
0815-03-21T00:00,32,98273.13539481783,
0815-03-21T00:00,32,98405.59141093135,
0815-03-21T00:00,32,98413.8596760524,
0815-03-21T00:00,32,98540.0696665512,
0815-03-21T00:00,32,98995.02777008206,
0815-03-21T00:00,32,99344.92900736186,
0815-03-21T00:00,32,99719.66388243785,
0815-03-21T00:00,32,100163.48101892017,
0815-03-21T00:00,32,100554.24152609786,
0815-03-21T00:00,32,100898.06809640658,
0815-03-21T00:00,32,101322.02214891485,
0815-03-21T00:00,32,101616.41559805378,
0815-03-21T00:00,32,101895.7850071863,
0815-03-21T00:00,32,102031.96890617248,
0815-03-21T00:00,32,102281.13749605388,
0815-03-21T00:00,32,102425.06557474987,
0815-03-21T00:00,32,102792.55014564905,
0815-03-21T00:00,32,103158.45037449959,
0815-03-21T00:00,32,103405.85866299312,
0815-03-21T00:00,32,103723.09852537363,
0815-03-21T00:00,32,103863.49702137164,
0815-03-21T00:00,32,104100.95914542697,
0815-03-21T00:00,32,104432.30605593584,
0815-03-21T00:00,32,104552.27263406312,
0815-03-21T00:00,32,104730.19664273964,
0815-03-21T00:00,32,104952.51530150221,
0815-03-21T00:00,32,105139.77765824097,
0815-03-21T00:00,32,105144.65440559688,
0815-03-21T00:00,32,105538.0973089915,
0815-03-21T00:00,32,105957.67939663975,
0815-03-21T00:00,32,106157.0462404118,
0815-03-21T00:00,32,106449.28534211555,
0815-03-21T00:00,32,106726.79236106662,
0815-03-21T00:00,32,107065.39801106401,
0815-03-21T00:00,32,107213.07357805278,
